city,code_insee,datetime,rr10,rr1,probarain,tmin,tmax,wind10m,gust10m,rainy_day,cold_day,hot_day,windy_day,total_day
Mont Saint Michel,50353,2024-08-23T02:00:00+0200,6.3,11.9,80,18,22,15,49,1,1,0,0,1
Mont Saint Michel,50353,2024-08-24T02:00:00+0200,11.5,18.0,90,16,18,25,37,1,1,0,0,1
Mont Saint Michel,50353,2024-08-25T02:00:00+0200,0.0,0.0,0,12,19,15,25,0,1,0,0,1
Mont Saint Michel,50353,2024-08-26T02:00:00+0200,0.0,0.0,20,10,21,10,18,0,1,0,0,1
Mont Saint Michel,50353,2024-08-27T02:00:00+0200,0.0,0.0,10,12,24,10,21,0,1,0,0,1
Mont Saint Michel,50353,2024-08-28T02:00:00+0200,0.0,0.0,10,14,25,10,21,0,0,0,0,0
Mont Saint Michel,50353,2024-08-29T02:00:00+0200,0.0,0.0,20,15,26,10,21,0,0,0,0,0
St Malo,35288,2024-08-23T02:00:00+0200,4.7,7.7,90,18,21,15,48,1,1,0,0,1
St Malo,35288,2024-08-24T02:00:00+0200,14.5,21.0,90,15,18,30,52,1,1,0,1,1
St Malo,35288,2024-08-25T02:00:00+0200,0.0,0.0,10,13,19,15,27,0,1,0,0,1
St Malo,35288,2024-08-26T02:00:00+0200,0.0,0.0,20,11,20,10,19,0,1,0,0,1
St Malo,35288,2024-08-27T02:00:00+0200,0.0,0.0,10,13,23,10,21,0,1,0,0,1
St Malo,35288,2024-08-28T02:00:00+0200,0.0,0.0,10,15,24,15,24,0,1,0,0,1
St Malo,35288,2024-08-29T02:00:00+0200,0.0,0.0,20,16,25,15,21,0,0,0,0,0
Bayeux,14047,2024-08-23T02:00:00+0200,3.8,7.3,70,18,21,20,65,1,1,0,1,1
Bayeux,14047,2024-08-24T02:00:00+0200,9.5,15.0,90,14,18,20,35,1,1,0,0,1
Bayeux,14047,2024-08-25T02:00:00+0200,0.0,0.0,0,10,20,10,25,0,1,0,0,1
Bayeux,14047,2024-08-26T02:00:00+0200,0.0,0.0,30,12,19,10,18,0,1,0,0,1
Bayeux,14047,2024-08-27T02:00:00+0200,0.0,0.0,10,13,21,15,20,0,1,0,0,1
Bayeux,14047,2024-08-28T02:00:00+0200,0.0,0.0,10,15,22,15,20,0,1,0,0,1
Bayeux,14047,2024-08-29T02:00:00+0200,0.0,0.0,20,16,24,15,21,0,1,0,0,1
Le Havre,76351,2024-08-23T02:00:00+0200,4.4,8.5,80,19,22,20,66,1,1,0,1,1
Le Havre,76351,2024-08-24T02:00:00+0200,6.0,10.0,90,17,18,20,35,1,1,0,0,1
Le Havre,76351,2024-08-25T02:00:00+0200,0.0,0.0,0,14,18,15,27,0,1,0,0,1
Le Havre,76351,2024-08-26T02:00:00+0200,0.0,0.0,30,12,19,10,18,0,1,0,0,1
Le Havre,76351,2024-08-27T02:00:00+0200,0.0,0.0,10,14,21,15,21,0,1,0,0,1
Le Havre,76351,2024-08-28T02:00:00+0200,0.0,0.0,10,15,22,15,21,0,1,0,0,1
Le Havre,76351,2024-08-29T02:00:00+0200,0.0,0.0,20,16,24,15,24,0,1,0,0,1
Rouen,76540,2024-08-23T02:00:00+0200,3.5,6.7,90,19,24,10,48,1,1,0,0,1
Rouen,76540,2024-08-24T02:00:00+0200,3.0,3.0,70,15,18,15,31,0,1,0,0,1
Rouen,76540,2024-08-25T02:00:00+0200,0.0,0.0,0,11,21,10,26,0,1,0,0,1
Rouen,76540,2024-08-26T02:00:00+0200,0.0,0.0,20,11,20,10,19,0,1,0,0,1
Rouen,76540,2024-08-27T02:00:00+0200,0.0,0.0,10,13,23,10,21,0,1,0,0,1
Rouen,76540,2024-08-28T02:00:00+0200,0.0,0.0,10,15,25,10,18,0,0,0,0,0
Rouen,76540,2024-08-29T02:00:00+0200,0.0,0.0,20,16,26,10,23,0,0,0,0,0
Paris,75056,2024-08-23T02:00:00+0200,0.0,0.0,20,17,26,15,42,0,0,0,0,0
Paris,75056,2024-08-24T02:00:00+0200,2.2,2.5,50,18,27,15,43,0,0,0,0,0
Paris,75056,2024-08-25T02:00:00+0200,0.0,0.0,0,13,22,10,20,0,1,0,0,1
Paris,75056,2024-08-26T02:00:00+0200,0.0,0.0,10,11,22,10,18,0,1,0,0,1
Paris,75056,2024-08-27T02:00:00+0200,0.0,0.0,10,13,25,10,18,0,0,0,0,0
Paris,75056,2024-08-28T02:00:00+0200,0.0,0.0,10,15,27,10,18,0,0,0,0,0
Paris,75056,2024-08-29T02:00:00+0200,0.0,0.0,30,17,29,10,19,0,0,0,0,0
Amiens,80021,2024-08-23T02:00:00+0200,4.6,9.1,100,17,24,15,61,1,1,0,1,1
Amiens,80021,2024-08-24T02:00:00+0200,1.5,2.0,50,15,25,20,33,0,0,0,0,0
Amiens,80021,2024-08-25T02:00:00+0200,0.0,0.0,0,12,20,10,27,0,1,0,0,1
Amiens,80021,2024-08-26T02:00:00+0200,0.0,0.0,30,11,20,10,18,0,1,0,0,1
Amiens,80021,2024-08-27T02:00:00+0200,0.0,0.0,10,13,23,10,18,0,1,0,0,1
Amiens,80021,2024-08-28T02:00:00+0200,0.0,0.0,10,15,25,10,20,0,0,0,0,0
Amiens,80021,2024-08-29T02:00:00+0200,0.0,0.0,20,16,27,10,21,0,0,0,0,0
Lille,59350,2024-08-23T02:00:00+0200,2.7,5.4,90,18,23,20,61,1,1,0,1,1
Lille,59350,2024-08-24T02:00:00+0200,2.2,2.7,60,16,24,15,35,0,1,0,0,1
Lille,59350,2024-08-25T02:00:00+0200,0.0,0.0,0,11,21,15,27,0,1,0,0,1
Lille,59350,2024-08-26T02:00:00+0200,0.0,0.0,40,12,20,10,19,0,1,0,0,1
Lille,59350,2024-08-27T02:00:00+0200,0.0,0.0,10,14,23,10,18,0,1,0,0,1
Lille,59350,2024-08-28T02:00:00+0200,0.0,0.0,10,15,25,10,18,0,0,0,0,0
Lille,59350,2024-08-29T02:00:00+0200,0.0,0.0,10,17,26,10,19,0,0,0,0,0
Strasbourg,67482,2024-08-23T02:00:00+0200,0.0,0.0,0,16,29,10,36,0,0,0,0,0
Strasbourg,67482,2024-08-24T02:00:00+0200,1.0,1.0,50,15,31,10,24,0,0,1,0,1
Strasbourg,67482,2024-08-25T02:00:00+0200,9.5,12.5,90,16,21,10,26,1,1,0,0,1
Strasbourg,67482,2024-08-26T02:00:00+0200,0.0,0.0,40,14,21,10,16,0,1,0,0,1
Strasbourg,67482,2024-08-27T02:00:00+0200,0.0,0.0,20,14,24,10,16,0,1,0,0,1
Strasbourg,67482,2024-08-28T02:00:00+0200,0.0,0.0,20,16,27,5,10,0,0,0,0,0
Strasbourg,67482,2024-08-29T02:00:00+0200,0.0,0.0,30,18,28,5,10,0,0,0,0,0
Chateau du Haut Koenigsbourg,67362,2024-08-23T02:00:00+0200,0.0,0.0,0,13,28,10,31,0,0,0,0,0
Chateau du Haut Koenigsbourg,67362,2024-08-24T02:00:00+0200,1.0,1.0,60,16,32,10,24,0,0,1,0,1
Chateau du Haut Koenigsbourg,67362,2024-08-25T02:00:00+0200,12.5,17.5,90,15,19,5,21,1,1,0,0,1
Chateau du Haut Koenigsbourg,67362,2024-08-26T02:00:00+0200,0.0,0.0,40,12,20,10,17,0,1,0,0,1
Chateau du Haut Koenigsbourg,67362,2024-08-27T02:00:00+0200,0.0,0.0,20,12,23,5,15,0,1,0,0,1
Chateau du Haut Koenigsbourg,67362,2024-08-28T02:00:00+0200,0.0,0.0,20,14,26,5,9,0,0,0,0,0
Chateau du Haut Koenigsbourg,67362,2024-08-29T02:00:00+0200,0.0,0.0,40,16,27,5,9,0,0,0,0,0
Colmar,68066,2024-08-23T02:00:00+0200,0.0,0.0,0,17,29,10,35,0,0,0,0,0
Colmar,68066,2024-08-24T02:00:00+0200,1.0,2.0,60,17,33,10,24,0,0,1,0,1
Colmar,68066,2024-08-25T02:00:00+0200,12.5,18.5,90,15,20,5,22,1,1,0,0,1
Colmar,68066,2024-08-26T02:00:00+0200,0.0,0.0,50,13,21,10,16,0,1,0,0,1
Colmar,68066,2024-08-27T02:00:00+0200,0.0,0.0,20,13,24,5,14,0,1,0,0,1
Colmar,68066,2024-08-28T02:00:00+0200,0.0,0.0,30,15,27,5,9,0,0,0,0,0
Colmar,68066,2024-08-29T02:00:00+0200,0.0,0.0,40,17,28,5,9,0,0,0,0,0
Eguisheim,68078,2024-08-23T02:00:00+0200,0.0,0.0,0,14,27,10,32,0,0,0,0,0
Eguisheim,68078,2024-08-24T02:00:00+0200,1.0,2.0,70,17,32,10,23,0,0,1,0,1
Eguisheim,68078,2024-08-25T02:00:00+0200,13.5,18.5,90,15,19,5,21,1,1,0,0,1
Eguisheim,68078,2024-08-26T02:00:00+0200,0.0,0.0,50,12,20,5,15,0,1,0,0,1
