iter	Passed	Remaining
0	20	20289
1	28	14161
2	37	12333
3	43	10722
4	46	9231
5	49	8209
6	60	8592
7	69	8623
8	75	8295
9	78	7801
10	81	7366
11	87	7193
12	92	7009
13	95	6718
14	98	6462
15	101	6238
16	107	6190
17	110	6009
18	113	5839
19	116	5684
20	118	5541
21	122	5446
22	125	5329
23	128	5220
24	131	5119
25	134	5025
26	143	5165
27	160	5573
28	166	5560
29	170	5514
30	175	5489
31	178	5404
32	181	5319
33	184	5243
34	189	5224
35	193	5190
36	202	5274
37	206	5222
38	210	5193
39	214	5149
40	218	5105
41	221	5044
42	224	4990
43	229	4992
44	235	4992
45	239	4968
46	247	5010
47	252	5010
48	256	4986
49	261	4963
50	265	4945
51	270	4929
52	274	4898
53	277	4857
54	280	4824
55	303	5109
56	306	5063
57	308	5017
58	312	4978
59	315	4943
60	319	4914
61	322	4882
62	327	4867
63	332	4860
64	336	4836
65	340	4812
66	343	4777
67	347	4761
68	351	4746
69	355	4716
70	357	4682
71	361	4659
72	365	4636
73	368	4605
74	370	4574
75	374	4549
76	377	4527
77	381	4515
78	385	4494
79	388	4466
80	391	4440
81	396	4436
82	400	4419
83	403	4394
84	405	4370
85	411	4370
86	415	4361
87	418	4338
88	421	4315
89	426	4308
90	435	4352
91	445	4401
92	460	4488
93	463	4471
94	467	4455
95	470	4434
96	478	4452
97	481	4432
98	484	4413
99	488	4398
100	493	4389
101	503	4429
102	509	4433
103	515	4438
104	518	4418
105	522	4409
106	526	4397
107	531	4393
108	534	4372
109	539	4364
110	543	4354
111	546	4334
112	549	4312
113	554	4308
114	557	4290
115	560	4270
116	563	4251
117	566	4231
118	570	4221
119	575	4216
120	577	4197
121	580	4178
122	585	4175
123	589	4162
124	592	4144
125	594	4126
126	598	4110
127	631	4301
128	637	4301
129	639	4282
130	642	4263
131	645	4244
132	650	4239
133	653	4222
134	656	4204
135	659	4186
136	661	4169
137	667	4172
138	671	4159
139	674	4145
140	678	4132
141	683	4130
142	686	4115
143	689	4100
144	697	4114
145	702	4109
146	706	4097
147	710	4091
148	719	4108
149	723	4097
150	727	4091
151	731	4082
152	736	4076
153	739	4061
154	744	4056
155	748	4050
156	751	4035
157	754	4021
158	800	4236
159	817	4293
160	834	4350
161	850	4398
162	863	4431
163	866	4419
164	876	4434
165	879	4420
166	883	4404
167	888	4402
168	895	4402
169	899	4392
170	905	4389
171	912	4392
172	917	4387
173	927	4401
174	937	4421
175	950	4451
176	957	4451
177	960	4436
178	964	4421
179	990	4511
180	996	4507
181	1004	4516
182	1012	4520
183	1030	4569
184	1035	4561
185	1040	4551
186	1043	4535
187	1046	4519
188	1053	4522
189	1057	4506
190	1059	4489
191	1062	4472
192	1070	4475
193	1073	4460
194	1076	4443
195	1079	4428
196	1087	4431
197	1090	4415
198	1093	4399
199	1096	4386
200	1101	4379
201	1104	4363
202	1107	4348
203	1110	4333
204	1115	4327
205	1118	4312
206	1122	4300
207	1126	4290
208	1133	4290
209	1136	4276
210	1139	4261
211	1143	4250
212	1148	4242
213	1151	4229
214	1155	4219
215	1187	4311
216	1191	4297
217	1197	4294
218	1200	4281
219	1203	4268
220	1206	4253
221	1213	4253
222	1216	4238
223	1219	4224
224	1222	4210
225	1227	4202
226	1230	4189
227	1233	4177
228	1238	4168
229	1243	4162
230	1246	4149
231	1250	4140
232	1253	4127
233	1258	4118
234	1261	4106
235	1264	4093
236	1269	4087
237	1274	4079
238	1277	4066
239	1281	4057
240	1284	4044
241	1287	4031
242	1291	4024
243	1294	4011
244	1297	3999
245	1300	3986
246	1308	3987
247	1311	3975
248	1314	3964
249	1317	3952
250	1321	3944
251	1325	3933
252	1332	3933
253	1337	3927
254	1340	3915
255	1343	3905
256	1346	3893
257	1349	3881
258	1353	3872
259	1357	3863
260	1360	3853
261	1363	3841
262	1390	3896
263	1393	3884
264	1396	3872
265	1400	3863
266	1403	3852
267	1406	3841
268	1409	3829
269	1412	3819
270	1416	3810
271	1419	3799
272	1422	3788
273	1426	3779
274	1429	3767
275	1433	3759
276	1436	3748
277	1438	3737
278	1441	3725
279	1444	3714
280	1449	3707
281	1452	3696
282	1454	3685
283	1457	3675
284	1460	3664
285	1464	3656
286	1467	3646
287	1470	3635
288	1473	3625
289	1476	3614
290	1481	3609
291	1484	3599
292	1488	3590
293	1491	3581
294	1495	3573
295	1498	3563
296	1503	3559
297	1506	3549
298	1509	3539
299	1513	3530
300	1516	3521
301	1550	3584
302	1556	3580
303	1562	3578
304	1566	3569
305	1569	3560
306	1572	3550
307	1578	3546
308	1581	3536
309	1584	3526
310	1587	3516
311	1589	3506
